Brand ID,Brand name,Tracking URL,GEO,Currency
122564,"Iemegumi","https://app.partnerboost.com/track/7dbbFdHo_aomdZwjR37pHIP9SOeZmJ7XJIFlICp0yRMWhvBSawGidrL9kc_aPOFMkFmcz1RH9jh7GVq_aLV?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DA66HD3TMTYUYU%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
123476,"IMOUMLIVE","https://app.partnerboost.com/track/b2a9FvZHCZrJmMr1Gzz0jS8YBhBARZ5qC_bqtksTjHwoUybGCW3GiULayJhnRig5a0zqBUpqo0Ok5q8kNPQ_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FIMOUMLIVE%2Fpage%2F809B986A-9163-47D1-A365-DFC72E1C8DD4","CN","USD"
122589,"Dryhsip DE","https://app.partnerboost.com/track/de7eGiFs18HntKM16g65a3eNqmGYiftaLndeCiM4aGCUDvbgkDjOG16mXP5bS_bzThHS8ff5BqA_c_c?url=https%3A%2F%2Fwww.amazon.de%2Fs%3Fme%3DA1QY0KY1TYLLVD%26marketplaceID%3DA1PA6795UKMFR9","CN","EUR"
107149,"SOUYIE-IT","https://app.partnerboost.com/track/c068XJ4SfSFksjVGUni7ps2xNhtFkjQ_b_b3X18Sw5pWP3s5PCtJtaRU5_amMyrkuek03Nltc3DGw_c_c?url=https%3A%2F%2Fwww.amazon.it%2Fsp%3Fie%3DUTF8%26seller%3DA38UM43LI4AH7C","CN","EUR"
98549,"Kanwone","https://app.partnerboost.com/track/3eb2KaMAvvsuPQmiAkMbIqmZERe89w6rQOP7CFyTZ1fXBz30sOOXPJ7FdJPFMIydrZCB6CsolDeL3g4_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FKanwone%2Fpage%2FB7DFB6AB-6E46-4F88-9434-5E2E4EF4CF92%3Fref_%3Dast_bln%26store_ref%3Dbl_ast_dp_brandLogo_sto","CN","USD"
122615,"Oxmestus","https://app.partnerboost.com/track/a703luRf5s1EsakuLrGtc3PI9N6gUfGSyH8clNn4qh_aLHup96pwQtJh5J8WPCVmo8VntFtxzpQ_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DA3U3JKEG4O1OE2%26language%3Dzh%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
107182,"Boulou","https://app.partnerboost.com/track/af57CFkzIRycOu3bO8wWOgqwSjIRMtUa_ajBT7ibHgv7x0Ja8vg_a_aQd8w5LIMxagowxh5BBxSaA_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FBoulou%2Fpage%2FB24EF033-86C8-445A-9446-72E02EBD190F%3Fref_%3Dast_bln","CN","USD"
105545,"leonbinno","https://app.partnerboost.com/track/4a60SALjzuVkgzJHRVQYZhxQr_aOOLOyZn9RnGQP4MJHZGc1XQ9JFgt7Ry_bIxJzpepdcgADYTJc7owoGOtA_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2Fleonbinno%2Fpage%2FDD29879B-3EDC-4B3A-9A29-0E3FAA71295B%3Fref_%3Dast_bln","CN","USD"
107129,"Levens","https://app.partnerboost.com/track/f749s9Fg2GDHUqqy_bErMsivBRzLN7szVn_bICOEcB7i_bcJJzEnIt8esAo75MKJJTVNrEySre2wT8sYA_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FLevens%2Fpage%2FDC8C4B4F-35BA-4254-BFEF-420803980689%3Fref_%3Dast_bln","CN","USD"
94885,"LIQQY US","https://app.partnerboost.com/track/1cbd6hq7QHXVtQsb6YDDJG2BPmm2i17nJzC1RJC4OTSSb1E8LmeMm1i9KV7aeSs8LmNCDNpB5hvY?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2Fpage%2FCF9F38AC-0229-4337-8CAA-C8CA74574A0D","CN","USD"
