Program ID,Affiliate program name,Affiliate Link,Currency
18422,"Nordic Sheep (NO)","//jdt8.net/c/?si=18422&li=1796217&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18433,"Oakley (EU) - USD","//bdt9.net/c/?si=18433&li=1796803&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
18472,"Prydligt (SE)","//bdt9.net/c/?si=18472&li=1798000&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18473,"Prydligt (FI)","//bdt9.net/c/?si=18473&li=1798001&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18474,"Prydligt (DE)","//bdt9.net/c/?si=18474&li=1798002&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18475,"Prydligt (NL)","//bdt9.net/c/?si=18475&li=1798003&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18476,"Prydligt (EU)","//bdt9.net/c/?si=18476&li=1798004&wi=#MEDIA_ID#&ws=#SUB_ID#","SEK"
18489,"Eufy (EU)","//bdt9.net/c/?si=18489&li=1798471&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18528,"Surveoo (Rwanda) -SOI","//jf79.net/c/?si=18528&li=1799085&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18570,"Pluus (DK)","//bdt9.net/c/?si=18570&li=1800495&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18572,"Pluus (SE)","//bdt9.net/c/?si=18572&li=1800500&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18573,"Buuks (UK)","//bdt9.net/c/?si=18573&li=1800508&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18574,"Buuks (DK)","//bdt9.net/c/?si=18574&li=1800510&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18575,"Buuks (SE)","//bdt9.net/c/?si=18575&li=1800512&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18587,"Ivalo.com (EU)","//c.ivalo.com/c/?si=18587&li=1800677&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18620,"Uber Eats (ES)","//bdt9.net/c/?si=18620&li=1801621&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18645,"Decantalo (INT)","//bdt9.net/c/?si=18645&li=1802463&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18667,"Netlingeri (PL)","//bdt9.net/c/?si=18667&li=1802939&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18668,"Netlingeri (BE)","//bdt9.net/c/?si=18668&li=1802940&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
18669,"Only-flirts.com","//bdt9.net/c/?si=18669&li=1803039&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18682,"50pluspartner.nl","//lt45.net/c/?si=18682&li=1803381&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18683,"Bjorn Borg (EU) - USD","//bdt9.net/c/?si=18683&li=1803454&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
18686,"50match.be","//lt45.net/c/?si=18686&li=1803614&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18689,"Gayliebe.com","//lt45.net/c/?si=18689&li=1803643&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18690,"Rencontregay.be","//lt45.net/c/?si=18690&li=1803658&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18691,"Casualdatingcanada.com","//lt45.net/c/?si=18691&li=1803661&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18692,"gayPartner.it","//lt45.net/c/?si=18692&li=1803662&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18705,"Baobab (EU)","//bdt9.net/c/?si=18705&li=1803897&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18706,"Canadacoquin.com","//lt45.net/c/?si=18706&li=1803898&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18707,"Gaydate.pl","//lt45.net/c/?si=18707&li=1803899&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18708,"Gaydates.se","//lt45.net/c/?si=18708&li=1803902&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18709,"Gaygrinder.com","//lt45.net/c/?si=18709&li=1803903&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18710,"Gaygrinding.com","//lt45.net/c/?si=18710&li=1803904&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18711,"gayPartner.ch","//lt45.net/c/?si=18711&li=1803905&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18712,"Gaypartner.co.uk","//lt45.net/c/?si=18712&li=1803906&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18713,"gayPartner.es","//lt45.net/c/?si=18713&li=1803907&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18714,"gayPartner.no","//lt45.net/c/?si=18714&li=1803908&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18715,"Gayrencontre.ch","//lt45.net/c/?si=18715&li=1803909&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18716,"Gays.lu","//lt45.net/c/?si=18716&li=1803912&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18717,"Gaysrencontre.com","//lt45.net/c/?si=18717&li=1803913&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18718,"Grindinggay.de","//lt45.net/c/?si=18718&li=1803940&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18719,"Grindinggay.se","//lt45.net/c/?si=18719&li=1803941&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18720,"Lilysilk (INT)","//bdt9.net/c/?si=18720&li=1803942&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18721,"Treffenpartner.de","//lt45.net/c/?si=18721&li=1803943&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18726,"Snapdate.ch","//lt45.net/c/?si=18726&li=1804409&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18727,"Snapdate.de","//lt45.net/c/?si=18727&li=1804410&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18728,"Snapdate.es","//lt45.net/c/?si=18728&li=1804411&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18729,"Snapdate.fr","//lt45.net/c/?si=18729&li=1804412&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18730,"Snapdate.it","//lt45.net/c/?si=18730&li=1804413&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18731,"Snapdate.nl","//lt45.net/c/?si=18731&li=1804414&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18732,"Snapdate.no","//lt45.net/c/?si=18732&li=1804415&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18733,"Snapdate.se","//lt45.net/c/?si=18733&li=1804417&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18734,"Snaprencontre.be","//lt45.net/c/?si=18734&li=1804418&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18735,"Snaprencontre.ch","//lt45.net/c/?si=18735&li=1804420&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
20358,"Mr. Survey (Vietnam)","//jdt8.net/c/?si=20358&li=1866061&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18794,"Gaydate.at","//lt45.net/c/?si=18794&li=1807175&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18806,"Gaysrencontre.fr","//lt45.net/c/?si=18806&li=1807887&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18807,"Snapdate.pl","//lt45.net/c/?si=18807&li=1807906&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18818,"PureVPN (INT)","//bdt9.net/c/?si=18818&li=1809952&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18823,"Flirtdate.at","//lt45.net/c/?si=18823&li=1810306&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
19682,"YouGov (DE) 18-24yo Females","//rkn3.net/c/?si=19682&li=1841282&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18825,"Casualdating.com","//bdt9.net/c/?si=18825&li=1810408&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18826,"Erfarnekvinder.dk","//bdt9.net/c/?si=18826&li=1810415&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18827,"FlirtHits.com","//bdt9.net/c/?si=18827&li=1810419&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18828,"iDates.com","//bdt9.net/c/?si=18828&li=1810423&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
